HomeTeam,AwayTeam,Home,Draw,Away,HomeDecimal,DrawDecimal,AwayDecimal,B365H,B365D,B365A,bet,Proba,Kelly,betDatePortion,Date,runningMoney,BetAmount,refill,withdraw
FK Teplice,Varnsdorf,-138,275,275,1.7246376811594204,3.75,3.75,1.7246376811594204,3.75,3.75,H,0.6621080560292701,0.19581717334966303,0.012338265196041927,2022-06-28,10,0.12338265196041927,0,0
Slovan Liberec,FC Sellier & Bellot Vlasim,-163,275,333,1.6134969325153374,3.75,4.33,1.6134969325153374,3.75,4.33,H,0.6768727549757924,0.15017534558633386,0.011787782303188787,2022-06-28,10,0.11787782303188787,0,0
FC Salzburg,Legia Warsaw,-154,333,275,1.6493506493506491,4.33,3.75,1.6493506493506491,4.33,3.75,H,0.6347638476364097,0.07230017299648045,0.01090464041135635,2022-06-28,10,0.1090464041135635,0,0
Club Brugge,Lierse Kempenzonen,-800,650,1600,1.125,7.5,17.0,1.125,7.5,17.0,H,0.9290056179168183,0.36105056125136514,0.014555061647969629,2022-06-28,10,0.14555061647969628,0,0
FK Zeleziarne Podbrezova,KFC Komarno,-167,275,350,1.598802395209581,3.75,4.5,1.598802395209581,3.75,4.5,H,0.6413032901239332,0.04227978463090165,0.010582143827336939,2022-06-28,10,0.10582143827336939,0,0
FK Cukaricki,Slask Wroclaw,120,260,160,2.2,3.6,2.6,2.2,3.6,2.6,A,0.48368112073694985,0.16098182119754348,0.01191585745930252,2022-06-28,10,0.1191585745930252,0,0
GKS Jastrzebie,Ruch Chorzow,155,275,120,2.55,3.75,2.2,2.55,3.75,2.2,A,0.46507840052950444,0.019310400970758236,0.010341848785059529,2022-06-28,10,0.10341848785059529,0,0
Mezokovesd Zsory,MTK Budapest,120,260,160,2.2,3.6,2.6,2.2,3.6,2.6,A,0.48368112073694985,0.16098182119754348,0.01191585745930252,2022-06-28,10,0.1191585745930252,0,0
Rapid Vienna,SV Lafnitz,-200,350,350,1.5,4.5,4.5,1.5,4.5,4.5,H,0.7053258974878566,0.1159776924635697,0.011391482692476675,2022-06-28,10,0.11391482692476675,0,0
Hamburg,Hajduk Split,180,260,110,2.8,3.6,2.1,2.8,3.6,2.1,D,0.3827871986755475,0.14539765970460425,0.01173159830372506,2022-06-28,10,0.1173159830372506,0,0
